분야,전략목표,프로그램,성과,산출물
성평등,성평등한 경제적 역량강화,성평등한 양질의 직업접근성 확대를 위한 교육훈련 강화,"비공식 취업 비율 (섹터별, 성별) (SDG 8.3.1), 무보수 가사노동 및 돌봄노동에 할애하는 시간 비율(성별, 연령별, 장소별)(SDG 5.4.1), 정규 및 비정규 교육/훈련에 참여한 청소년과 성인의 비율(수) (성별분리) (SDG4.3.1), 정보통신기술(ICT)을 보유한 청소년과 성인의 비율(수) (성별분리, 기술유형별)(SDG 4.4.1), 공인 자격증 취득률 (성별분리), 졸업생 취업률 (성별분리), 지원기관 졸업율(성별분리), 사계절 이용가능한 도로의 반경 2km 이내에 거주하는 지방 인구의 비율 (SDG 9.1.1)(성별분리), 대중교통에 편리하게 접근 가능한 인구 수(비율) (SDG 11.2.1)(성별분리), 안전하게 관리되는 식수 이용 인구 비율 (SDG 6.1.1)(성별분리), 물 관련 시설 운영관리 능력도 (1)(성별분리), 소규모 농업인(소농) 평균소득(성별, 원주민 신분별) (SDG 2.3.2), 통합적인 도시 및 지역계획이 수립된 도시에 거주하는 인구수(비율) (SDG 11.a.)(성별분리)","생산 자원제적 자원 지원 여성 수혜자 수, (교육), 교육프로그램 수혜 학생 수(명별, 취약계층(장애 등) 분리), 연수받은 교직원 수(명별, 취약계층(장애 등) 분리), 공인 평가/자격등급 취득 학습자/교원 수(명별, 취약계층(장애 등) 분리), 지원받은 디지털교육 이용자 수(명별 분리), 교통체계 개선을 위한 역량강화 교육을 받은 교육생 수(명) (성별분리), 교통안전 역량강화 교육을 받은 공무원/교사/주민 수(명)(성별분리), 교통약자 및 소외계층 이동편의지원시설 규모(km, 개소, m2), 공공/도시교통 개선을 위해 역량강화 교육을 받은 교육생 수(명) (성별분리), 교통약자 및 소외계층 관련 법/제도/정책/계획 수립 건수, 공공/도시교통 개선을 위해 역량강화 교육을 받은 교육생 수(명) (성별분리), 친환경 교통 관련 역량강화 교육을 받은 교육생 수(명), 기본적인 수준의 식수에 접근이 가능한 인구의 수(가구/학교/보건시설)(성별분리), 식수위생 관리교육을 받은 보건의료인력의 수(명)(성별분리), 식수위생 관리교육을 받은 마을주민의 수(명)(성별분리), 통합물관리/재해관리 역량강화 교육훈련을 받은 관리자(공무원) 수(명)(성별분리), 물 배분(water allocaton) 업무가 가능한 조직/인력 수(명)(성별분리), 농업 분야 역량강화 지원을 받은 수혜자 수(명/성별분리통계), 농업기자재 지원을 받은 수혜자 수(성별분리), 농민협동조직 조합원 수(명/성별분리통계), 증가한 농촌지도사 혹은 연구인력 수(명/성별분리통계), 금융 접근성이 개선된 신규 수혜자 수 (명/성별분리통계), 농업외 소득활동 지원을 받은 수혜자 수  (성별분리), 선된 농촌 도로시설 혜택을 받은 신규 수혜자 수 (성별분리), 신규 설치된 전력시설 혜택을 받은 수혜자 수(성별분리), 소득 이외 분야 역량강화 지원을 받은 수혜자 수(성별분리), 도시개발 및 관리를 위한 역량강화 교육을 받은 중앙/지방정부 관계자 및 시민의 수 성별 분리통계"
성평등,성평등한 사회적 지위 향상,성평등 추진기반 구축 통한 성평등한 의사결정 참여 확대,"성별 기반으로 평등과 비차별을 증진, 강화, 모니터링 하기 위한 법적 프레임워크의 존재 여부 (SDG 5.1.1), 관리자 이상 직급 여성의 비율 (SDG 5.5.2), 지역사회 또는 시민이 도시계획 및 관리에 직접 참여하는 수단을 가진 도시의 수(비율) (SDG 11.3.2)","성평등 교육훈련 프로그램 이수자 수 성별, 직급별, 교육과정 수준 (고급,기본) 별, 의사결정기구 내 여성 구성원 수, 여성 주도 의사결정기구 (부녀회의 등) 구축 수, 성평등 증진 활동 그룹 구축 수, 공식적비공식적 규범의 개정/제정 발생 수 법제, 정책, 관습, 지침, 결의 등. 지역사회 또는 시민이 참여한 도시계획 및 도시 관리 활동 건수, 디지털 역량강화 교육을 받은 참여자 수"
성평등,성평등한 사회적 지위 향상,여성 리더십 확대,"성별 기반으로 평등과 비차별을 증진, 강화, 모니터링 하기 위한 법적 프레임워크의 존재 여부 (SDG 5.1.1), 관리자 이상 직급 여성의 비율 (SDG 5.5.2), 지역사회 또는 시민이 도시계획 및 관리에 직접 참여하는 수단을 가진 도시의 수(비율) (SDG 11.3.2)","성평등 교육훈련 프로그램 이수자 수 성별, 직급별, 교육과정 수준 (고급,기본) 별, 의사결정기구 내 여성 구성원 수, 여성 주도 의사결정기구 (부녀회의 등) 구축 수, 성평등 증진 활동 그룹 구축 수, 공식적비공식적 규범의 개정/제정 발생 수 법제, 정책, 관습, 지침, 결의 등. 지역사회 또는 시민이 참여한 도시계획 및 도시 관리 활동 건수, 디지털 역량강화 교육을 받은 참여자 수"
성평등,성평등한 기본권 확보,여성의 성재생산 건강보장 및 권리 확보,"159세 여성 중 충분한 정보를 바탕으로 성관계, 피임법과 재생산 건강관리에 관해 스스로 의사결정을 하는 이들의 비율 (%) (SDG 5.6.1), 모성사망비 (SDG 3.1.1), 현대적 피임 실천 여성 수 (명)/비율 (SDG 3.7.1), 청소년 출산율(104세, 159세, 1000명당) (SDG 3.7.2), 전문인력에 의해 분만한 임산부 수(명)/비율 (SDG 3.1.2), 4회 또는 8회 이상 산전관리를 받은 임산부 수 (명)/비율(WHO), 출산 후 48시간 이내 산후관리를 받은 임산부 수 (명)/비율(WHO). 5세 미만 아동 사망률 (SDG 3.2.1)(성별분리). 신생아 사망률 (SDG 3.2.2)(성별분리). 5세 미만 아동의 발육부진 비율 (SDG 2.2.1)(성별분리), 5세 미만 아동의 영양불량 비율 (SDG 2.2.2)(성별분리). 63개월 아동 중 최소적정식사를 한 아동 수(비율)(성별분리)","포괄적 성교육을 받은 수혜자의 수/비율 (성별분리), 성관계, 피임 사용, 재생산 건강 관리를 위한 교재/가이드라인 활용 교육수, 성생식모자청소년보건 서비스를 지원하기 위한 기능이 강화된(BEmONC, CEmONC) 보건의료시설 수, 청소년 성인지 캠페인/교육 참여자 수(성별분리), 성생식보건/모자보건 캠페인/교육 참여자 수(성별분리), 성생식보건/모자보건 교육을 이수한 마을보건요원 수(성별분리), 성생식보건/모자보건 역량강화 교육을 이수한 보건의료인 수(성별분리), 영양서비스(영양보충식/미량영양소보충제/학교급식 등)를 받은 임산부/수유부/가임기여성/영유아/아동/청소년 수(성별분리), 급성영양결핍보충식 프로그램에 등록된 69개월 아동 수(성별분리), 대상별(임산부/수유부/가임기여성/영유아/아동/청소년/성인) 영양 관련 교육을 이수한 보건의료인 수(성별분리), 대상별(임산부/수유부/가임기여성/영유아/아동/청소년/성인) 영양 관련 교육을 받은 주민 수(성별분리)"
성평등,성평등한 기본권 확보,젠더기반폭력의 감소,"15세 이상의 여성과 여아 중에서 지난 12개월 동안, 현재, 혹은 이전의 성적 파트너로부터 육체적, 성적, 심리적 폭력을 당한 적이 있는 이들의 비율(폭력의 형태별, 연령별) (SDG 5.2.1), 15세 이상의 여성과 여아 중에서 지난 12개월 동안 파트너 이외의 다른 사람으로부터 성폭력을 당한 적이 있는 이들의 비율(연령별 및 사건발생 장소별) (SDG 5.2.2.), 20~24세 여성 중 15세 이전과 18세 이전에 결혼 혹은 동거를 했던 여성의 비율(SDG5.3.1.), 안전하게 관리되는 위생시설(화장실) 이용하는 인구수(비율) (SDG 6.2.1), 슬럼, 비공식 정주지 또는 부적정 주거에 거주하는 도시 인구 수(비율) (SDG 11.1), 성별, 연령별, 장애유무별 도시 내 공공 공간 평균 비율 (SDG 11.7.1)","젠더기반폭력 대응 시설 지원 수, 젠더기반폭력 대응 서비스 제공 횟수, 성평등 교육훈련 프로그램 이수자 수 성별, 직급별, 교육과정 수준 (고급,기본) 별, 성평등 증진 활동 그룹 구축 수, 기본적 수준의 화장실 시설에 접근이 가능한 인구 수(가구/학교/보건시설), 지역사회 또는 시민이 참여한 도시계획 및 도시 관리 활동 건수, (중복)공식적비공식적 규범의 개정/제정 발생 수 법제, 정책, 관습, 지침, 결의 등, 기본적 수준의 화장실 시설에 접근이 가능한 인구 수(가구/학교/보건시설), 지역사회 또는 시민이 참여한 도시계획 및 도시 관리 활동 건수"
성평등,성평등한 기본권 확보,기후 변화 및 재난 위기 대응,"인구 10만명 당 사망, 실종, 그리고 직접적으로 재해로 인한 영향을 받은 인구 수(성별분리)(SDG11.5.1), 국가 필수 예방접종 아동 수(비율)(성별분리), 물 관련 재해위험 이해도 (1), 실내, 실외 대기오염에 의한 건강피해 예방 및 저감 혜택 인구수(성별분리)","거버넌스, 법치, 분쟁갈등 관리 및 예방을 위한 교육, 훈련, 워크숍, 훈련 참가 주민 수, 백신/예방접종/Cold chain 관리 교육을 이수한 보건의료인 수, 예방접종 인지 교육을 받은 주민 수, 통합물관리/재해관리 역량강화 교육훈련을 받은 관리자(공무원) 수(명)(성별분리), 물 관련 재해대응 인식개선 교육 및 훈련을 받은 마을주민의 수(명)(성별분리), 대기질 정보 수신 가능 인구수(성별분리)"
에너지,에너지 소외계층의 현대식 에너지 접근성 개선,소외계층을 위한 현대식 에너지 보급 프로그램,"전기를 사용할 수 있는 수혜자수(명) (SDG7.1.1), 전기를 사용할 수 있는 수혜자수(명) (SDG7.1.1) ","전력분야(송·배전, 발전, 마이크로그리드 등) 사업(건)"
에너지,재생에너지 확대를 통한 기후변화대응,재생 에너지 보급확산 프로그램,"대상지역(사업장)내 재생에너지가 차지하는 비율(%) (SDG7.2.1), 대상지역(사업장) 내 설치된 재생에너지 발전용량(kW) (SDG7.b.1), 재생에너지 사업 지원으로 인해 연간 감소된 온실가스 배출량(tons of CO2q per year) (SDG13.2.2), 하이브리드 시스템을 포함한 청정 에너지 연구개발과 재생에너지 생산을 지원하기 위해 개발도상국가에 동원된 국제 자금(USD) (SDG7.a.1) ","준공된 재생에너지(태양광, 소수력 등) 발전소 시설 수(건), 준공된 재생에너지 실증사업 및 R&D 인프라(건), 재생에너지 분야 마스터플랜(MP)(건), 타당성조사(F/S) 보고서(건), 재생에너지분야 역량강화된 전문인력 수(명)"
에너지,기술협력을 통한 에너지 효율개선 및 전력품질 향상 ,산업/주거시설 에너지 효율개선 프로그램,"대상지역(사업장) 에너지효율 개선율(%), 에너지 효율 개선을 지원하기 위해 개발도상국가에 동원된 국제 자금(USD) (SDG7.a.1), 에너지 효율 개선 사업 지원으로 인해 연간 감소된 온실가스 배출량(tons of CO2q per year) (SDG13.2.2)","준공된 에너지효율 개선 관련 시설 수(건), 준공된 에너지효율 실증단지 또는 R&D 인프라(건), 에너지효율 분야 마스터플랜(MP)(건), 타당성조사(F/S) 보고서(건), 에너지효율분야 역량강화된 전문인력 수(명) "
인권,국제인권규범 이행과 인권증진,인권보호 프로그램,"(SDG16.6.2)가장 최근 경험한 공공서비스에 대해 만족하는 인구비율, (SDG16.10.2) 정보에 대한 대중의 접근을 보장하기 위해 헌법과 법률에 근거한 정책의 채택 및 이행도, 인권관련기관 인권정책·제도 개발(건), 인권정책·제도의 이행(율), 교육훈련 이수자의 현업적용도 ","인권관련기관 지원 시설 수, 인권관련기관 교육훈련을 받은 관계자 수(장애, 성별분리통계), 인권관련기관 인권분야 법/제도/정책/계획/컨설팅 수립 건 수, 대중이 접근가능한 인권 정보 관련 디지털 서비스 및 인프라 제공 수, 인권관련기관 권리옹호활동(자조모임, 다자협의체, 국제파트너십 등) 지원 건, 인권관련기관 교육훈련 및 권리옹호활동에 참여한 주민 수, 공공정책 및 의사결정 매커니즘에 참여하는 주민 수(장애, 성별분리통계)* 인권관련기관 (여성가족부, 보건복지부 등 관련 부처, 국가인권기구, 법원, 인권/시민사회/장애 단체, 권리옹호 네트워크 등)"
인권,취약계층 권리중심의 개발협력 확대,취약계층 권리증진 프로그램,"(SDG4.3.1) 정규 및 비정규 교육/훈련에 참여한 청소년과 성인의 비율(수) (성별분리), 취약계층 지원 마스터플랜(취약계층 지원 법,제도,정책 개발 또는 컨설팅) 수립(건), 취약계층의 정규 및 비정규 교육훈련 이수(율), 취약계층의 역량변화 및 인권개선 체감율","취약계층 지원 시설 수, 취약계층 관련 직무훈련을 이수한 전문인력 수(장애, 성별분리통계), 취약계층 지원 프로그램의 참가자 수(장애, 성별분리통계), 취약계층 권리옹호활동(자조모임, 인식개선, 캠페인 등) 참가자 수, 젠더기반폭력 대응 서비스(상담, 신고, 의료, 법조, 수사 등) 제공 횟수"
